Date,Coord-System,Altitude,Latitude,Longitude,D_deg,D_min,I_deg,I_min,H_nT,X_nT,Y_nT,Z_nT,F_nT,dD_min,dI_min,dH_nT,dX_nT,dY_nT,dZ_nT,dF_nT
2017,D,K600,-69.0746073509547,46.3797536819106,-55d,54m,-67d,49m,13341.6,7478.3,-11048.6,-32730.3,35345,-9.8,0.4,2.3,-30.3,-23.3,4.6,-3.3
2017,D,K600,-65.6229114207056,42.6336667054631,-51d,17m,-66d,18m,13431,8400.8,-10479.4,-30598.6,33416.6,-9.6,0.3,2.6,-27.8,-25.6,2.3,-1.1
2017,D,K600,-62.107394311637,39.7133724156267,-47d,43m,-65d,0m,13333.7,8971.3,-9864.2,-28597.7,31553.4,-9.6,0.3,3.1,-25.5,-27.3,0.3,1
2017,D,K600,-58.5483372620332,37.34973239796,-44d,48m,-63d,57m,13084.3,9284.3,-9219.6,-26770.1,29796.6,-9.6,0.3,3.9,-23,-28.6,-1.4,3
2017,D,K600,-54.9579487865264,35.3763098368428,-42d,15m,-63d,10m,12721.9,9417.3,-8553.4,-25145.7,28180.7,-9.6,0.4,4.8,-20.3,-29.5,-2.8,4.7
2017,D,K600,-51.3439739659706,33.6854859241786,-39d,50m,-62d,38m,12288.2,9437,-7870.3,-23742.5,26734,-9.5,0.5,5.9,-17.2,-29.8,-3.6,5.9
2017,D,K600,-47.7115584679373,32.2048884212531,-37d,21m,-62d,21m,11826.5,9402,-7174.3,-22568.3,25479.3,-9.2,0.6,7,-13.6,-29.3,-3.5,6.3
2017,D,K600,-44.0642689342091,30.8841507396313,-34d,38m,-62d,14m,11383.6,9366.2,-6469.8,-21622.7,24436.2,-8.7,0.8,7.8,-9.9,-28,-2.4,5.8
2017,D,K600,-40.4046804387467,29.6871489579558,-31d,34m,-62d,13m,11011.3,9382.7,-5763.1,-20896.7,23620.4,-7.8,1,8,-6.3,-25.5,-0.3,4
2017,D,K600,-36.7347295877442,28.5872696212633,-28d,2m,-62d,8m,10769.9,9506.2,-5062.1,-20369.7,23041.7,-6.6,1.2,7.4,-3.2,-21.8,2.6,1.1
2017,D,K600,-33.0559345567721,27.5644222604037,-24d,5m,-61d,48m,10726.9,9793.4,-4376.7,-20004.4,22698.9,-5,1.3,6.1,-0.8,-16.8,6.2,-2.5
2017,D,K600,-29.3695363958669,26.6030930026339,-19d,51m,-60d,59m,10950.3,10299.9,-3717.9,-19740.5,22574.3,-3.1,1.3,4.2,0.7,-10.6,9.8,-6.5
2017,D,K600,-25.6765918946147,25.6910396289173,-15d,38m,-59d,28m,11496.1,11071.2,-3096.6,-19492.6,22630.2,-0.9,1.3,2,1.1,-3.4,12.9,-10.1
2017,D,K600,-21.9780356959861,24.8183930531947,-11d,45m,-57d,6m,12392.5,12133,-2522.7,-19152.3,22812,1.2,1.2,-0.3,0.6,4.4,15,-12.7
2017,D,K600,-18.2747222786441,23.9770226353673,-8d,27m,-53d,46m,13628.9,13480.9,-2003.2,-18598.2,23057.3,3.1,1.1,-2.2,-0.4,12.5,15.8,-14
2017,D,K600,-14.5674544748449,23.1600761653819,-5d,50m,-49d,27m,15154.2,15075.5,-1542.3,-17710.7,23309.2,4.5,1,-3.6,-1.5,20.3,15,-13.7
2017,D,K600,-10.8570027659058,22.3616371585365,-3d,52m,-44d,9m,16882.2,16843.6,-1140.8,-16389.3,23529.1,5.6,0.9,-4.2,-2.4,27.5,12.9,-12
2017,D,K600,-7.1441182558196,21.5764614791242,-2d,26m,-37d,55m,18703.1,18686.1,-796.4,-14567.3,23706.8,6.2,0.8,-4,-2.5,33.7,9.7,-9.1
2017,D,K600,-3.42954128723065,20.7997672695471,-1d,25m,-30d,48m,20497,20490.8,-504.7,-12220.4,23863.5,6.5,0.5,-2.8,-1.8,38.6,6,-5.4
2017,D,K600,0.285992862196367,20.0270596131118,0d,-40m,-22d,56m,22147.1,22145.6,-259.8,-9369,24047.3,6.5,0.3,-0.7,-0.2,42.1,2.4,-1.5
2017,D,K600,4.00175007815199,19.2539759554486,0d,-8m,-14d,28m,23551.4,23551.4,-55.5,-6073.5,24322,6.5,0,2.2,2.2,44.3,-0.7,2.3
2017,D,K600,7.71699435428716,18.4761408460064,0d,16m,-5d,37m,24630.5,24630.2,114.1,-2425.4,24749.6,6.3,-0.3,5.4,5.1,45.2,-2.6,5.6
2017,D,K600,11.4309847010277,17.689019773877,0d,34m,3d,18m,25332,25330.8,254.2,1462.6,25374.2,6.1,-0.5,8.6,8.1,45.1,-3.3,8.4
2017,D,K600,15.1429711504966,16.8877616981566,0d,49m,12d,3m,25632.9,25630.2,368.3,5468.5,26209.7,5.9,-0.7,11.5,10.8,44.3,-2.8,10.6
2017,D,K600,18.8521887970581,16.0670185089954,1d,2m,20d,21m,25538,25533.9,458.4,9471,27237.6,5.8,-0.7,13.7,12.9,43.1,-1.1,12.4
2017,D,K600,22.5578487224419,15.2207267646479,1d,12m,28d,3m,25077.6,25072.2,525.1,13359.8,28414.3,5.7,-0.7,15.1,14.2,41.8,1.2,13.9
2017,D,K600,26.2591242142287,14.3418319756248,1d,20m,35d,3m,24302.2,24295.6,567.6,17043.9,29683.2,5.7,-0.7,15.6,14.6,40.7,3.8,15
2017,D,K600,29.9551301758122,13.4219276404601,1d,26m,41d,19m,23274.8,23267.4,584.5,20457.7,30987.6,5.8,-0.6,15.4,14.4,39.9,6.4,15.8
2017,D,K600,33.6448926426529,12.4507680885519,1d,30m,46d,53m,22062.9,22055.4,574.4,23562.8,32279.7,6.1,-0.5,14.7,13.6,39.4,8.7,16.4
2017,D,K600,37.327303837077,11.4155929834958,1d,29m,51d,48m,20730.5,20723.5,536.2,26346.3,33524.3,6.4,-0.4,13.6,12.6,39.2,10.5,16.7
2017,D,K600,41.001055516983,10.3001664106316,1d,24m,56d,9m,19331.9,19326.2,469.6,28815.9,34699.8,6.9,-0.4,12.4,11.4,39.2,12,16.8
2017,D,K600,44.664538982131,9.08337431243345,1d,12m,59d,59m,17909.3,17905.4,374.6,30992.7,35795.2,7.5,-0.3,11.1,10.2,39.4,13,16.8
2017,D,K600,48.3156922517507,7.7371213107507,0d,52m,63d,23m,16492.7,16490.7,251.4,32905.8,36807.6,8.2,-0.2,9.7,9.1,39.7,13.7,16.6
2017,D,K600,51.9517606360778,6.22308364438568,0d,23m,66d,25m,15101,15100.7,100.1,34587.1,37740,9.1,-0.2,8.2,7.9,40,14.1,16.2
